	Representative	Member	ClusterSize	PhageID	ProteinID	Status	Function
417	MZ501057.1_prot_QXV77172.1_59_unknown_Adapter_molecule_Crk	MZ501057.1_prot_QXV77172.1_59_unknown_Adapter_molecule_Crk	1	MZ501057.1	QXV77172.159	unknown	Adapter_molecule_Crk
418	MZ501057.1_prot_QXV77186.1_73_unknown_Os12g0566050_protein	MZ501057.1_prot_QXV77186.1_73_unknown_Os12g0566050_protein	1	MZ501057.1	QXV77186.173	unknown	Os12g0566050_protein
419	MZ501057.1_prot_QXV77192.1_79_unknown_Uncharacterized_protein_RDT1	MZ501057.1_prot_QXV77192.1_79_unknown_Uncharacterized_protein_RDT1	1	MZ501057.1	QXV77192.179	unknown	Uncharacterized_protein_RDT1
420	MZ501057.1_prot_QXV77195.1_82_unknown_Nitrilase,_putative	MZ501057.1_prot_QXV77195.1_82_unknown_Nitrilase,_putative	1	MZ501057.1	QXV77195.182	unknown	Nitrilase,_putative
433	MZ501058.1_prot_QXV77246.1_40_unknown_Mid2-like_cell_wall_stress_sensor_domain_protein	MZ501058.1_prot_QXV77246.1_40_unknown_Mid2-like_cell_wall_stress_sensor_domain_protein	1	MZ501058.1	QXV77246.140	unknown	Mid2-like_cell_wall_stress_sensor_domain_protein
437	MZ501058.1_prot_QXV77265.1_59_unknown_Topless-related_protein_2	MZ501058.1_prot_QXV77265.1_59_unknown_Topless-related_protein_2	1	MZ501058.1	QXV77265.159	unknown	Topless-related_protein_2
438	MZ501058.1_prot_QXV77273.1_67_unknown_DRBM_domain-containing_protein	MZ501058.1_prot_QXV77273.1_67_unknown_DRBM_domain-containing_protein	1	MZ501058.1	QXV77273.167	unknown	DRBM_domain-containing_protein
439	MZ501058.1_prot_QXV77288.1_82_unknown_ABC_transporter_ATP-binding_protein-role_in_polysaccharide_efflux	MZ501058.1_prot_QXV77288.1_82_unknown_ABC_transporter_ATP-binding_protein-role_in_polysaccharide_efflux	1	MZ501058.1	QXV77288.182	unknown	ABC_transporter_ATP-binding_protein-role_in_polysaccharide_efflux
443	MZ501058.1_prot_QXV77356.1_150_unknown_Pentacotripeptide-repeat_region_of_PRORP_domain-containing_protein	MZ501058.1_prot_QXV77356.1_150_unknown_Pentacotripeptide-repeat_region_of_PRORP_domain-containing_protein	1	MZ501058.1	QXV77356.1150	unknown	Pentacotripeptide-repeat_region_of_PRORP_domain-containing_protein
444	MZ501058.1_prot_QXV77362.1_156_unknown_Serine-threonine-protein_kinase_ATM	MZ501058.1_prot_QXV77362.1_156_unknown_Serine-threonine-protein_kinase_ATM	1	MZ501058.1	QXV77362.1156	unknown	Serine-threonine-protein_kinase_ATM
451	MZ501059.1_prot_QXV77441.1_66_unknown_Uncharacterized_protein_C04E7.3	MZ501059.1_prot_QXV77441.1_66_unknown_Uncharacterized_protein_C04E7.3	1	MZ501059.1	QXV77441.166	unknown	Uncharacterized_protein_C04E7.3
458	MZ501059.1_prot_QXV77452.1_77_unknown_Doublecortin_domain-containing_protein	MZ501059.1_prot_QXV77452.1_77_unknown_Doublecortin_domain-containing_protein	1	MZ501059.1	QXV77452.177	unknown	Doublecortin_domain-containing_protein
459	MZ501086.1_prot_QXV81716.1_25_unknown_Methyltransferase	MZ501086.1_prot_QXV81716.1_25_unknown_Methyltransferase	1	MZ501086.1	QXV81716.125	unknown	Methyltransferase
462	MZ501086.1_prot_QXV81719.1_28_unknown_GRIP_and_coiled-coil_domain_containing_88_kDa	MZ501086.1_prot_QXV81719.1_28_unknown_GRIP_and_coiled-coil_domain_containing_88_kDa	1	MZ501086.1	QXV81719.128	unknown	GRIP_and_coiled-coil_domain_containing_88_kDa
463	MZ501086.1_prot_QXV81720.1_29_unknown_None	MZ501086.1_prot_QXV81720.1_29_unknown_None	1	MZ501086.1	QXV81720.129	unknown	None
464	MZ501086.1_prot_QXV81726.1_35_unknown_Cytoplasmic_protein	MZ501086.1_prot_QXV81726.1_35_unknown_Cytoplasmic_protein	1	MZ501086.1	QXV81726.135	unknown	Cytoplasmic_protein
465	MZ501086.1_prot_QXV81727.1_36_unknown_ABC_transporter_ATP-binding_protein	MZ501086.1_prot_QXV81727.1_36_unknown_ABC_transporter_ATP-binding_protein	1	MZ501086.1	QXV81727.136	unknown	ABC_transporter_ATP-binding_protein
466	MZ501086.1_prot_QXV81728.1_37_unknown_Tetrahydromethanopterin_S-methyltransferase_subunit_E	MZ501086.1_prot_QXV81728.1_37_unknown_Tetrahydromethanopterin_S-methyltransferase_subunit_E	1	MZ501086.1	QXV81728.137	unknown	Tetrahydromethanopterin_S-methyltransferase_subunit_E
467	MZ501086.1_prot_QXV81729.1_38_unknown_Signal_peptidase_complex_subunit_1	MZ501086.1_prot_QXV81729.1_38_unknown_Signal_peptidase_complex_subunit_1	1	MZ501086.1	QXV81729.138	unknown	Signal_peptidase_complex_subunit_1
472	MZ501086.1_prot_QXV81733.1_42_unknown_Out_at_first_protein_homolog	MZ501086.1_prot_QXV81733.1_42_unknown_Out_at_first_protein_homolog	1	MZ501086.1	QXV81733.142	unknown	Out_at_first_protein_homolog
473	MZ501086.1_prot_QXV81734.1_43_unknown_DUF805_domain-containing_protein	MZ501086.1_prot_QXV81734.1_43_unknown_DUF805_domain-containing_protein	1	MZ501086.1	QXV81734.143	unknown	DUF805_domain-containing_protein
474	MZ501086.1_prot_QXV81736.1_45_unknown_NADH:ubiquinone_reductase_(H(+)-translocating)	MZ501086.1_prot_QXV81736.1_45_unknown_NADH:ubiquinone_reductase_(H(+)-translocating)	1	MZ501086.1	QXV81736.145	unknown	NADH:ubiquinone_reductase_(H(+)-translocating)
475	MZ501086.1_prot_QXV81739.1_48_unknown_Target_of_rapamycin_complex_1_subunit_KOG1	MZ501086.1_prot_QXV81739.1_48_unknown_Target_of_rapamycin_complex_1_subunit_KOG1	1	MZ501086.1	QXV81739.148	unknown	Target_of_rapamycin_complex_1_subunit_KOG1
479	MZ501086.1_prot_QXV81744.1_53_unknown_Protein_SYC1	MZ501086.1_prot_QXV81744.1_53_unknown_Protein_SYC1	1	MZ501086.1	QXV81744.153	unknown	Protein_SYC1
480	MZ501086.1_prot_QXV81754.1_63_unknown_Protein_THEMIS	MZ501086.1_prot_QXV81754.1_63_unknown_Protein_THEMIS	1	MZ501086.1	QXV81754.163	unknown	Protein_THEMIS
486	MZ501086.1_prot_QXV81761.1_70_unknown_Tetraspanin	MZ501086.1_prot_QXV81761.1_70_unknown_Tetraspanin	1	MZ501086.1	QXV81761.170	unknown	Tetraspanin
487	MZ501086.1_prot_QXV81769.1_78_unknown_Os03g0694600_protein	MZ501086.1_prot_QXV81769.1_78_unknown_Os03g0694600_protein	1	MZ501086.1	QXV81769.178	unknown	Os03g0694600_protein
490	MZ501086.1_prot_QXV81773.1_82_unknown_Protein_argonaute_5	MZ501086.1_prot_QXV81773.1_82_unknown_Protein_argonaute_5	1	MZ501086.1	QXV81773.182	unknown	Protein_argonaute_5
491	MZ501086.1_prot_QXV81774.1_83_unknown_CG7387_protein	MZ501086.1_prot_QXV81774.1_83_unknown_CG7387_protein	1	MZ501086.1	QXV81774.183	unknown	CG7387_protein
499	MZ501086.1_prot_QXV81782.1_91_unknown_GCS_light_chain	MZ501086.1_prot_QXV81782.1_91_unknown_GCS_light_chain	1	MZ501086.1	QXV81782.191	unknown	GCS_light_chain
500	MZ501086.1_prot_QXV81784.1_93_unknown_Conserved_hypothetical_phage_protein	MZ501086.1_prot_QXV81784.1_93_unknown_Conserved_hypothetical_phage_protein	1	MZ501086.1	QXV81784.193	unknown	Conserved_hypothetical_phage_protein
501	MZ501086.1_prot_QXV81786.1_95_unknown_ADP-ribose_glycohydrolase_OARD1	MZ501086.1_prot_QXV81786.1_95_unknown_ADP-ribose_glycohydrolase_OARD1	1	MZ501086.1	QXV81786.195	unknown	ADP-ribose_glycohydrolase_OARD1
502	MZ501086.1_prot_QXV81789.1_98_unknown_None	MZ501086.1_prot_QXV81789.1_98_unknown_None	1	MZ501086.1	QXV81789.198	unknown	None
503	MZ501086.1_prot_QXV81793.1_102_unknown_F-box_domain-containing_protein	MZ501086.1_prot_QXV81793.1_102_unknown_F-box_domain-containing_protein	1	MZ501086.1	QXV81793.1102	unknown	F-box_domain-containing_protein
504	MZ501086.1_prot_QXV81794.1_103_unknown_ECA1_gametogenesis_family_protein_(DUF784)	MZ501086.1_prot_QXV81794.1_103_unknown_ECA1_gametogenesis_family_protein_(DUF784)	1	MZ501086.1	QXV81794.1103	unknown	ECA1_gametogenesis_family_protein_(DUF784)
505	MZ501086.1_prot_QXV81799.1_108_unknown_Uncharacterized_protein_YdfD	MZ501086.1_prot_QXV81799.1_108_unknown_Uncharacterized_protein_YdfD	1	MZ501086.1	QXV81799.1108	unknown	Uncharacterized_protein_YdfD
506	MZ501086.1_prot_QXV81802.1_111_unknown_MYND-type_domain-containing_protein	MZ501086.1_prot_QXV81802.1_111_unknown_MYND-type_domain-containing_protein	1	MZ501086.1	QXV81802.1111	unknown	MYND-type_domain-containing_protein
507	MZ501086.1_prot_QXV81805.1_114_unknown_Probable_inactive_1-aminocyclopropane-1-carboxylate_synthase-like_protein_2	MZ501086.1_prot_QXV81805.1_114_unknown_Probable_inactive_1-aminocyclopropane-1-carboxylate_synthase-like_protein_2	1	MZ501086.1	QXV81805.1114	unknown	Probable_inactive_1-aminocyclopropane-1-carboxylate_synthase-like_protein_2
510	MZ501086.1_prot_QXV81810.1_119_unknown_DUF676_domain-containing_protein	MZ501086.1_prot_QXV81810.1_119_unknown_DUF676_domain-containing_protein	1	MZ501086.1	QXV81810.1119	unknown	DUF676_domain-containing_protein
512	MZ501086.1_prot_QXV81818.1_127_unknown_Guanine_nucleotide-binding_protein_subunit_alpha	MZ501086.1_prot_QXV81818.1_127_unknown_Guanine_nucleotide-binding_protein_subunit_alpha	1	MZ501086.1	QXV81818.1127	unknown	Guanine_nucleotide-binding_protein_subunit_alpha
513	MZ501086.1_prot_QXV81819.1_128_unknown_Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_DAD1	MZ501086.1_prot_QXV81819.1_128_unknown_Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_DAD1	1	MZ501086.1	QXV81819.1128	unknown	Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_DAD1
514	MZ501086.1_prot_QXV81821.1_130_unknown_DUF2828_domain-containing_protein	MZ501086.1_prot_QXV81821.1_130_unknown_DUF2828_domain-containing_protein	1	MZ501086.1	QXV81821.1130	unknown	DUF2828_domain-containing_protein
519	MZ501087.1_prot_QXV81835.1_8_unknown_Unplaced_genomic_scaffold_supercont1.4,_whole_genome_shotgun_sequence	MZ501087.1_prot_QXV81835.1_8_unknown_Unplaced_genomic_scaffold_supercont1.4,_whole_genome_shotgun_sequence	1	MZ501087.1	QXV81835.18	unknown	Unplaced_genomic_scaffold_supercont1.4,_whole_genome_shotgun_sequence
520	MZ501087.1_prot_QXV81837.1_10_unknown_Os02g0684800_protein	MZ501087.1_prot_QXV81837.1_10_unknown_Os02g0684800_protein	1	MZ501087.1	QXV81837.110	unknown	Os02g0684800_protein
521	MZ501087.1_prot_QXV81866.1_39_unknown_F-box_protein_At3g22700	MZ501087.1_prot_QXV81866.1_39_unknown_F-box_protein_At3g22700	1	MZ501087.1	QXV81866.139	unknown	F-box_protein_At3g22700
522	MZ501087.1_prot_QXV81871.1_44_unknown_CBS_domain-containing_protein	MZ501087.1_prot_QXV81871.1_44_unknown_CBS_domain-containing_protein	1	MZ501087.1	QXV81871.144	unknown	CBS_domain-containing_protein
527	MZ501087.1_prot_QXV81885.1_58_unknown_None	MZ501087.1_prot_QXV81885.1_58_unknown_None	1	MZ501087.1	QXV81885.158	unknown	None
528	MZ501087.1_prot_QXV81896.1_69_unknown_Pleckstrin_homology-like_domain_family_A_member_2	MZ501087.1_prot_QXV81896.1_69_unknown_Pleckstrin_homology-like_domain_family_A_member_2	1	MZ501087.1	QXV81896.169	unknown	Pleckstrin_homology-like_domain_family_A_member_2
534	MZ501087.1_prot_QXV81908.1_81_unknown_Tudor_domain-containing_protein	MZ501087.1_prot_QXV81908.1_81_unknown_Tudor_domain-containing_protein	1	MZ501087.1	QXV81908.181	unknown	Tudor_domain-containing_protein
535	MZ501087.1_prot_QXV81913.1_86_unknown_14-dihydroxy-2-naphthoyl-CoA_thioesterase_1	MZ501087.1_prot_QXV81913.1_86_unknown_14-dihydroxy-2-naphthoyl-CoA_thioesterase_1	1	MZ501087.1	QXV81913.186	unknown	14-dihydroxy-2-naphthoyl-CoA_thioesterase_1
536	MZ501087.1_prot_QXV81915.1_88_unknown_Probable_acyl-activating_enzyme_17,_peroxisomal	MZ501087.1_prot_QXV81915.1_88_unknown_Probable_acyl-activating_enzyme_17,_peroxisomal	1	MZ501087.1	QXV81915.188	unknown	Probable_acyl-activating_enzyme_17,_peroxisomal
537	MZ501087.1_prot_QXV81916.1_89_unknown_Uncharacterized_protein_Rv2386A-RVBD_2386A	MZ501087.1_prot_QXV81916.1_89_unknown_Uncharacterized_protein_Rv2386A-RVBD_2386A	1	MZ501087.1	QXV81916.189	unknown	Uncharacterized_protein_Rv2386A-RVBD_2386A
540	MZ501089.1_prot_QXV82161.1_180_unknown_Alcohol_dehydrogenase_transcription_factor_myb-sant-like_protein	MZ501089.1_prot_QXV82161.1_180_unknown_Alcohol_dehydrogenase_transcription_factor_myb-sant-like_protein	1	MZ501089.1	QXV82161.1180	unknown	Alcohol_dehydrogenase_transcription_factor_myb-sant-like_protein
541	MZ501089.1_prot_QXV82183.1_202_unknown_Replication_protein_A_subunit	MZ501089.1_prot_QXV82183.1_202_unknown_Replication_protein_A_subunit	1	MZ501089.1	QXV82183.1202	unknown	Replication_protein_A_subunit
542	MZ501089.1_prot_QXV82195.1_214_unknown_ATP-dependent_Clp_protease_adapter_protein_ClpS	MZ501089.1_prot_QXV82195.1_214_unknown_ATP-dependent_Clp_protease_adapter_protein_ClpS	1	MZ501089.1	QXV82195.1214	unknown	ATP-dependent_Clp_protease_adapter_protein_ClpS
550	MZ501077.1_prot_QXV80559.1_24_unknown_Protein_TonB	MZ501077.1_prot_QXV80559.1_24_unknown_Protein_TonB	1	MZ501077.1	QXV80559.124	unknown	Protein_TonB
553	MZ501077.1_prot_QXV80571.1_36_unknown_C-type_lysozyme_inhibitor_domain-containing_protein	MZ501077.1_prot_QXV80571.1_36_unknown_C-type_lysozyme_inhibitor_domain-containing_protein	1	MZ501077.1	QXV80571.136	unknown	C-type_lysozyme_inhibitor_domain-containing_protein
554	MZ501077.1_prot_QXV80586.1_51_unknown_F-box_associated_domain-containing_protein	MZ501077.1_prot_QXV80586.1_51_unknown_F-box_associated_domain-containing_protein	1	MZ501077.1	QXV80586.151	unknown	F-box_associated_domain-containing_protein
555	MZ501077.1_prot_QXV80593.1_58_unknown_Chromatin_remodeling_complex_subunit_(Arp9)	MZ501077.1_prot_QXV80593.1_58_unknown_Chromatin_remodeling_complex_subunit_(Arp9)	1	MZ501077.1	QXV80593.158	unknown	Chromatin_remodeling_complex_subunit_(Arp9)
556	MZ501077.1_prot_QXV80594.1_59_unknown_Uncharacterized_protein_MJ0645	MZ501077.1_prot_QXV80594.1_59_unknown_Uncharacterized_protein_MJ0645	1	MZ501077.1	QXV80594.159	unknown	Uncharacterized_protein_MJ0645
560	MZ501077.1_prot_QXV80605.1_70_unknown_Putative_homeobox_DNA-binding_and_leucine_zipper_domain_family_protein	MZ501077.1_prot_QXV80605.1_70_unknown_Putative_homeobox_DNA-binding_and_leucine_zipper_domain_family_protein	1	MZ501077.1	QXV80605.170	unknown	Putative_homeobox_DNA-binding_and_leucine_zipper_domain_family_protein
568	MZ501077.1_prot_QXV80614.1_79_unknown_Uncharacterized_protein	MZ501077.1_prot_QXV80614.1_79_unknown_Uncharacterized_protein	1	MZ501077.1	QXV80614.179	unknown	Uncharacterized_protein
572	MZ501078.1_prot_QXV80635.1_10_unknown_3'(2'),5'-bisphosphate_nucleotidase_CysQ	MZ501078.1_prot_QXV80635.1_10_unknown_3'(2'),5'-bisphosphate_nucleotidase_CysQ	1	MZ501078.1	QXV80635.110	unknown	3'(2'),5'-bisphosphate_nucleotidase_CysQ
597	MZ501079.1_prot_QXV80737.1_62_unknown_DUF4649_family_protein	MZ501079.1_prot_QXV80737.1_62_unknown_DUF4649_family_protein	1	MZ501079.1	QXV80737.162	unknown	DUF4649_family_protein
598	MZ501079.1_prot_QXV80738.1_63_unknown_DOC_domain-containing_protein	MZ501079.1_prot_QXV80738.1_63_unknown_DOC_domain-containing_protein	1	MZ501079.1	QXV80738.163	unknown	DOC_domain-containing_protein
601	MZ501079.1_prot_QXV80748.1_73_unknown_Vegetative_storage_protein_1	MZ501079.1_prot_QXV80748.1_73_unknown_Vegetative_storage_protein_1	1	MZ501079.1	QXV80748.173	unknown	Vegetative_storage_protein_1
602	MZ501079.1_prot_QXV80751.1_76_unknown_Regulator_of_G-protein_signaling_7	MZ501079.1_prot_QXV80751.1_76_unknown_Regulator_of_G-protein_signaling_7	1	MZ501079.1	QXV80751.176	unknown	Regulator_of_G-protein_signaling_7
612	MZ501080.1_prot_QXV80780.1_14_unknown_Fms_interacting_protein	MZ501080.1_prot_QXV80780.1_14_unknown_Fms_interacting_protein	1	MZ501080.1	QXV80780.114	unknown	Fms_interacting_protein
613	MZ501080.1_prot_QXV80794.1_28_unknown_Phage_associated_protein	MZ501080.1_prot_QXV80794.1_28_unknown_Phage_associated_protein	1	MZ501080.1	QXV80794.128	unknown	Phage_associated_protein
619	MZ501080.1_prot_QXV80818.1_52_unknown_Transcription_factor-like_protein_DPA	MZ501080.1_prot_QXV80818.1_52_unknown_Transcription_factor-like_protein_DPA	1	MZ501080.1	QXV80818.152	unknown	Transcription_factor-like_protein_DPA
620	MZ501080.1_prot_QXV80822.1_56_unknown_Uncharacterized_protein	MZ501080.1_prot_QXV80822.1_56_unknown_Uncharacterized_protein	1	MZ501080.1	QXV80822.156	unknown	Uncharacterized_protein
628	MZ501080.1_prot_QXV80830.1_64_unknown_OLF_and_Collagen_domain_containing_protein	MZ501080.1_prot_QXV80830.1_64_unknown_OLF_and_Collagen_domain_containing_protein	1	MZ501080.1	QXV80830.164	unknown	OLF_and_Collagen_domain_containing_protein
629	MZ501080.1_prot_QXV80840.1_74_unknown_Uncharacterized_protein	MZ501080.1_prot_QXV80840.1_74_unknown_Uncharacterized_protein	1	MZ501080.1	QXV80840.174	unknown	Uncharacterized_protein
630	MZ501080.1_prot_QXV80844.1_78_unknown_Nucleoside_diphosphate_kinase,_putative	MZ501080.1_prot_QXV80844.1_78_unknown_Nucleoside_diphosphate_kinase,_putative	1	MZ501080.1	QXV80844.178	unknown	Nucleoside_diphosphate_kinase,_putative
631	MZ501080.1_prot_QXV80848.1_82_unknown_Carbonic_anhydrase	MZ501080.1_prot_QXV80848.1_82_unknown_Carbonic_anhydrase	1	MZ501080.1	QXV80848.182	unknown	Carbonic_anhydrase
632	MZ501081.1_prot_QXV80858.1_9_unknown_Tesmin	MZ501081.1_prot_QXV80858.1_9_unknown_Tesmin	1	MZ501081.1	QXV80858.19	unknown	Tesmin
633	MZ501081.1_prot_QXV80871.1_22_unknown_RNA-binding_protein_KhpB	MZ501081.1_prot_QXV80871.1_22_unknown_RNA-binding_protein_KhpB	1	MZ501081.1	QXV80871.122	unknown	RNA-binding_protein_KhpB
638	MZ501082.1_prot_QXV80939.1_39_unknown_NADH_dehydrogenase_subunit_4L	MZ501082.1_prot_QXV80939.1_39_unknown_NADH_dehydrogenase_subunit_4L	1	MZ501082.1	QXV80939.139	unknown	NADH_dehydrogenase_subunit_4L
641	MZ501082.1_prot_QXV80993.1_93_unknown_None	MZ501082.1_prot_QXV80993.1_93_unknown_None	1	MZ501082.1	QXV80993.193	unknown	None
642	MZ501082.1_prot_QXV81002.1_102_unknown_SH3_1_domain_containing_protein	MZ501082.1_prot_QXV81002.1_102_unknown_SH3_1_domain_containing_protein	1	MZ501082.1	QXV81002.1102	unknown	SH3_1_domain_containing_protein
643	MZ501082.1_prot_QXV81095.1_195_unknown_DeoR-family_transcriptional_regulator	MZ501082.1_prot_QXV81095.1_195_unknown_DeoR-family_transcriptional_regulator	1	MZ501082.1	QXV81095.1195	unknown	DeoR-family_transcriptional_regulator
648	MZ501082.1_prot_QXV81120.1_220_unknown_Uncharacterized_protein,_isoform_B	MZ501082.1_prot_QXV81120.1_220_unknown_Uncharacterized_protein,_isoform_B	1	MZ501082.1	QXV81120.1220	unknown	Uncharacterized_protein,_isoform_B
649	MZ501071.1_prot_QXV79574.1_62_unknown_Os07g0493601_protein	MZ501071.1_prot_QXV79574.1_62_unknown_Os07g0493601_protein	1	MZ501071.1	QXV79574.162	unknown	Os07g0493601_protein
653	MZ501071.1_prot_QXV79580.1_68_unknown_Os09g0324400_protein	MZ501071.1_prot_QXV79580.1_68_unknown_Os09g0324400_protein	1	MZ501071.1	QXV79580.168	unknown	Os09g0324400_protein
656	MZ501071.1_prot_QXV79591.1_79_unknown_RBR-type_E3_ubiquitin_transferase	MZ501071.1_prot_QXV79591.1_79_unknown_RBR-type_E3_ubiquitin_transferase	1	MZ501071.1	QXV79591.179	unknown	RBR-type_E3_ubiquitin_transferase
662	MZ501072.1_prot_QXV79684.1_77_unknown_Vesicle-associated_membrane_protein_724	MZ501072.1_prot_QXV79684.1_77_unknown_Vesicle-associated_membrane_protein_724	1	MZ501072.1	QXV79684.177	unknown	Vesicle-associated_membrane_protein_724
663	MZ501072.1_prot_QXV79697.1_90_unknown_Myeloid_differentiation_primary_response_protein_MyD88	MZ501072.1_prot_QXV79697.1_90_unknown_Myeloid_differentiation_primary_response_protein_MyD88	1	MZ501072.1	QXV79697.190	unknown	Myeloid_differentiation_primary_response_protein_MyD88
664	MZ501072.1_prot_QXV79708.1_101_unknown_Probable_secretion_protein	MZ501072.1_prot_QXV79708.1_101_unknown_Probable_secretion_protein	1	MZ501072.1	QXV79708.1101	unknown	Probable_secretion_protein
665	MZ501072.1_prot_QXV79710.1_103_unknown_UPF0336_protein_Rv0504c	MZ501072.1_prot_QXV79710.1_103_unknown_UPF0336_protein_Rv0504c	1	MZ501072.1	QXV79710.1103	unknown	UPF0336_protein_Rv0504c
666	MZ501072.1_prot_QXV79714.1_107_unknown_Putative_uncharacterized_protein_DDB_G0291564	MZ501072.1_prot_QXV79714.1_107_unknown_Putative_uncharacterized_protein_DDB_G0291564	1	MZ501072.1	QXV79714.1107	unknown	Putative_uncharacterized_protein_DDB_G0291564
667	MZ501072.1_prot_QXV79762.1_155_unknown_Heterogeneous_nuclear_ribonucleoprotein_A3-like	MZ501072.1_prot_QXV79762.1_155_unknown_Heterogeneous_nuclear_ribonucleoprotein_A3-like	1	MZ501072.1	QXV79762.1155	unknown	Heterogeneous_nuclear_ribonucleoprotein_A3-like
668	MZ501072.1_prot_QXV79767.1_160_unknown_Kinesin_motor_domain-containing_protein	MZ501072.1_prot_QXV79767.1_160_unknown_Kinesin_motor_domain-containing_protein	1	MZ501072.1	QXV79767.1160	unknown	Kinesin_motor_domain-containing_protein
671	MZ501073.1_prot_QXV79860.1_74_unknown_HNH_nuclease_domain-containing_protein	MZ501073.1_prot_QXV79860.1_74_unknown_HNH_nuclease_domain-containing_protein	1	MZ501073.1	QXV79860.174	unknown	HNH_nuclease_domain-containing_protein
676	MZ501073.1_prot_QXV79912.1_126_unknown_BTB-POZ_domain-containing_protein_KCTD14	MZ501073.1_prot_QXV79912.1_126_unknown_BTB-POZ_domain-containing_protein_KCTD14	1	MZ501073.1	QXV79912.1126	unknown	BTB-POZ_domain-containing_protein_KCTD14
678	MZ501073.1_prot_QXV79965.1_179_unknown_DUF2059_domain-containing_protein	MZ501073.1_prot_QXV79965.1_179_unknown_DUF2059_domain-containing_protein	1	MZ501073.1	QXV79965.1179	unknown	DUF2059_domain-containing_protein
685	MZ501074.1_prot_QXV80019.1_8_unknown_Probable_Zinc-ribbon_domain-containing_protein	MZ501074.1_prot_QXV80019.1_8_unknown_Probable_Zinc-ribbon_domain-containing_protein	1	MZ501074.1	QXV80019.18	unknown	Probable_Zinc-ribbon_domain-containing_protein
686	MZ501074.1_prot_QXV80072.1_61_unknown_Uncharacterized_mitochondrial_protein_AtMg00470	MZ501074.1_prot_QXV80072.1_61_unknown_Uncharacterized_mitochondrial_protein_AtMg00470	1	MZ501074.1	QXV80072.161	unknown	Uncharacterized_mitochondrial_protein_AtMg00470
692	MZ501074.1_prot_QXV80085.1_74_unknown_GPI-GlcNAc_transferase_complex_PIG-H_component_conserved_domain-containing_protein	MZ501074.1_prot_QXV80085.1_74_unknown_GPI-GlcNAc_transferase_complex_PIG-H_component_conserved_domain-containing_protein	1	MZ501074.1	QXV80085.174	unknown	GPI-GlcNAc_transferase_complex_PIG-H_component_conserved_domain-containing_protein
693	MZ501074.1_prot_QXV80110.1_99_unknown_Os02g0135000_protein	MZ501074.1_prot_QXV80110.1_99_unknown_Os02g0135000_protein	1	MZ501074.1	QXV80110.199	unknown	Os02g0135000_protein
694	MZ501074.1_prot_QXV80113.1_102_unknown_Os01g0605600_protein	MZ501074.1_prot_QXV80113.1_102_unknown_Os01g0605600_protein	1	MZ501074.1	QXV80113.1102	unknown	Os01g0605600_protein
695	MZ501074.1_prot_QXV80121.1_110_unknown_Transcriptional_co-activator_crsp77-related	MZ501074.1_prot_QXV80121.1_110_unknown_Transcriptional_co-activator_crsp77-related	1	MZ501074.1	QXV80121.1110	unknown	Transcriptional_co-activator_crsp77-related
702	MZ501074.1_prot_QXV80144.1_133_unknown_NADH-ubiquinone_oxidoreductase_chain_4L	MZ501074.1_prot_QXV80144.1_133_unknown_NADH-ubiquinone_oxidoreductase_chain_4L	1	MZ501074.1	QXV80144.1133	unknown	NADH-ubiquinone_oxidoreductase_chain_4L
705	MZ501075.1_prot_QXV80233.1_52_unknown_Cytoplasmic_protein	MZ501075.1_prot_QXV80233.1_52_unknown_Cytoplasmic_protein	1	MZ501075.1	QXV80233.152	unknown	Cytoplasmic_protein
706	MZ501075.1_prot_QXV80237.1_56_unknown_Ribosome_maturation_factor_RimP	MZ501075.1_prot_QXV80237.1_56_unknown_Ribosome_maturation_factor_RimP	1	MZ501075.1	QXV80237.156	unknown	Ribosome_maturation_factor_RimP
710	MZ501075.1_prot_QXV80274.1_93_unknown_Phosphoserine_phosphatase	MZ501075.1_prot_QXV80274.1_93_unknown_Phosphoserine_phosphatase	1	MZ501075.1	QXV80274.193	unknown	Phosphoserine_phosphatase
723	MZ501076.1_prot_QXV80407.1_54_unknown_Os07g0224066_protein	MZ501076.1_prot_QXV80407.1_54_unknown_Os07g0224066_protein	1	MZ501076.1	QXV80407.154	unknown	Os07g0224066_protein
724	MZ501076.1_prot_QXV80435.1_82_unknown_Bm13257	MZ501076.1_prot_QXV80435.1_82_unknown_Bm13257	1	MZ501076.1	QXV80435.182	unknown	Bm13257
725	MZ501076.1_prot_QXV80457.1_104_unknown_General_secretion_pathway_protein_F	MZ501076.1_prot_QXV80457.1_104_unknown_General_secretion_pathway_protein_F	1	MZ501076.1	QXV80457.1104	unknown	General_secretion_pathway_protein_F
729	MZ501076.1_prot_QXV80460.1_107_unknown_Invasin-like_protein	MZ501076.1_prot_QXV80460.1_107_unknown_Invasin-like_protein	1	MZ501076.1	QXV80460.1107	unknown	Invasin-like_protein
730	MZ501076.1_prot_QXV80461.1_108_unknown_peptidyl-tRNA_hydrolase	MZ501076.1_prot_QXV80461.1_108_unknown_peptidyl-tRNA_hydrolase	1	MZ501076.1	QXV80461.1108	unknown	peptidyl-tRNA_hydrolase
